column_stem,frequency,naming_pattern,source,used_by_valuation,category,driver_mapping,notes
3yr_pat,quarterly,3yr_pat_NNN,FULLSTATS,NO,derived,,Rolling 3Y PAT
3yr_pbidt,quarterly,3yr_pbidt_NNN,FULLSTATS,NO,derived,,Rolling 3Y PBIDT
annual_sales_growth,annual,annual_sales_growth_NNN,FULLSTATS,NO,derived,,
annual_pbidt_growth,annual,annual_pbidt_growth_NNN,FULLSTATS,NO,derived,,
annual_pat_growth,annual,annual_pat_growth_NNN,FULLSTATS,NO,derived,,
# === FULLSTATS — BANKING ANNUAL (naming now CONFIRMED correct: YYYY_metric) ===
casa,annual_fixed,YYYY_casa,FULLSTATS,PROPOSED,banking,casa_ratio (0.123 BANKING_PRIVATE),CASA % of deposits. Naming fixed in latest fullstats
nim,annual_fixed,YYYY_nim,FULLSTATS,PROPOSED,banking,net_interest_margin (company-level),Net interest margin %. Already computed from quarterly but fullstats gives direct
cost_income_ratio,annual_fixed,YYYY_cost_income_ratio,FULLSTATS,PROPOSED,banking,cost_to_income_ratio (0.074),Operating efficiency ratio
credit_deposits,annual_fixed,YYYY_credit_deposits,FULLSTATS,PROPOSED,banking,credit_growth (0.186/0.172),Credit-deposit ratio for growth drivers
gnpa_pct,annual_fixed,YYYY_gnpa,BOTH,YES,banking,asset_quality,Gross NPA percentage — already used
nnpa_pct,annual_fixed,YYYY_nnpa,BOTH,YES,banking,asset_quality,Net NPA percentage — already used
# === PROPOSED NEW TIER 1 — FROM ACCORD (6 columns to add to fullstats) ===
cf_wc_change,annual+half_yearly,YYYY_cf_wc_change / hN_YYYY_cf_wc_change,PROPOSED,PROPOSED,cf_flow,nwc_to_sales_trend (0.05),Accord: CF_Changes In Working Capital. Replaces BS estimation. Critical for negative-NWC companies
shares_outstanding,annual,YYYY_shares_outstanding,PROPOSED,PROPOSED,bs_stock,per-share intrinsic value,Accord: BS_Number of Equity Shares Paid Up. Replaces MCap/CMP approximation
capital_employed,annual,YYYY_capital_employed,PROPOSED,PROPOSED,bs_stock,roce_trend (0.10),Accord: FH_Capital Employed. Direct ROCE denominator replacing (PBT+Int)/(NW+Debt)
dividend_payout_ratio,annual,YYYY_dividend_payout_ratio,PROPOSED,PROPOSED,ratio,terminal_reinvestment,Accord: FR_Dividend Pay Out Ratio(%). Cross-check for reinvestment = 1 - payout
cf_tax_paid,annual+half_yearly,YYYY_cf_tax_paid / hN_YYYY_cf_tax_paid,PROPOSED,PROPOSED,cf_flow,effective_tax_rate,Accord: CF_Tax Paid. Actual cash tax vs accrual 1-(PAT/PBT)
rd_pct_of_sales,annual,YYYY_rd_pct_of_sales,PROPOSED,PROPOSED,ratio,rd_spend/rd_investment (0.071-0.143),Accord: ERD_% of Turnover. R&D for PHARMA/DEFENSE/MEDICAL_EQUIP/PRODUCT_SAAS
# === METADATA (non-numeric identification columns) ===
Company Name,metadata,Company Name,BOTH,YES,id,,Primary lookup key
CD_NSE Symbol1,metadata,CD_NSE Symbol1,BOTH,YES,id,,NSE symbol for price lookup
CD_BSE Code,metadata,CD_BSE Code,BOTH,YES,id,,BSE code for price lookup
CD_ISIN No,metadata,CD_ISIN No,BOTH,YES,id,,ISIN for dedup
CD_Sector,metadata,CD_Sector,BOTH,NO,id,,Legacy screener.in sector — use valuation_group instead
CD_Industry1,metadata,CD_Industry1,BOTH,NO,id,,Legacy screener.in industry — use valuation_subgroup instead
valuation_group,metadata,valuation_group,FULLSTATS,YES,taxonomy,,Our sector classification (66 groups)
valuation_subgroup,metadata,valuation_subgroup,FULLSTATS,YES,taxonomy,,Our industry classification (66+ subgroups)
